functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
makeoffer_r1_5,10,1,1,0,5,0,0,0.0,1.6,7,1,8,1.4,0.25,50,1.03,makeoffer
makeoffer_r1_5,10,4,1,0,5,0,0,0.0,4.4,20,4,24,3.3,0.3333333333333333,50,0.95,makeoffer
makeoffer_r1_5,10,10,1,0,5,0,0,0.0,10.3,38,16,54,8.1,0.5925925925925926,50,0.58,makeoffer
makeoffer_r1_5,10,20,1,0,5,0,0,0.0,20.4,73,33,106,18.7,0.6226415094339622,50,0.37,makeoffer
makeoffer_r1_5,10,50,1,0,5,0,0,0.0,49.9,159,99,258,34.7,0.7674418604651163,50,0.29,makeoffer
makeoffer_r1_5,10,100,1,0,5,0,0,0.0,100.1,298,218,516,68.1,0.8449612403100775,50,0.25,makeoffer
makeoffer_r1_5,10,200,1,0,5,0,0,0.0,193.1,549,519,1068,134.4,0.9719101123595506,50,0.49,makeoffer
makeoffer_r1_5,10,400,1,0,5,0,0,0.0,260.2,1479,1459,2938,192.6,0.9931926480599047,50,3.59,makeoffer
makeoffer_r1_5,10,500,1,0,5,0,0,0.0,312.3,1642,1622,3264,226.9,0.9938725490196079,50,2.84,makeoffer
makeoffer_r10_1,10,1,10,1,1,1,2,40.65,3.6,22,18,40,3.5,0.9,50,,makeoffer
makeoffer_r10_1,10,4,10,1,1,1,2,40.65,7.0,33,27,60,6.6,0.9,50,,makeoffer
makeoffer_r10_1,10,10,10,1,1,1,2,40.65,13.4,44,36,80,10.3,0.9,50,,makeoffer
makeoffer_r10_1,10,20,10,1,1,1,2,40.65,21.8,76,64,140,17.9,0.9142857142857143,50,,makeoffer
makeoffer_r10_1,10,50,10,1,1,1,2,40.65,46.5,148,132,280,33.6,0.9428571428571428,50,,makeoffer
makeoffer_r10_1,10,100,10,1,1,1,2,40.65,84.9,281,263,544,62.8,0.9669117647058824,50,,makeoffer
makeoffer_r10_1,10,200,10,1,1,1,2,40.65,186.1,537,529,1066,137.5,0.9924953095684803,50,,makeoffer
makeoffer_r10_1,10,500,10,1,1,1,2,40.65,288.1,1798,1794,3592,264.3,0.9988864142538976,50,,makeoffer
makeoffer_r10_5,10,1,10,0,5,0,0,0.0,4.5,29,11,40,4.2,0.55,50,0.52,makeoffer
makeoffer_r10_5,10,4,10,0,5,0,0,0.0,7.1,43,17,60,6.7,0.5666666666666667,50,0.44,makeoffer
makeoffer_r10_5,10,10,10,0,5,0,0,0.0,14.2,54,26,80,10.3,0.65,50,0.5,makeoffer
makeoffer_r10_5,10,20,10,0,5,0,0,0.0,21.2,93,47,140,15.7,0.6714285714285714,50,0.33,makeoffer
makeoffer_r10_5,10,50,10,0,5,0,0,0.0,46.0,172,108,280,33.7,0.7714285714285715,50,0.27,makeoffer
makeoffer_r10_5,10,100,10,0,5,0,0,0.0,84.2,305,235,540,64.3,0.8703703703703703,50,0.33,makeoffer
makeoffer_r10_5,10,200,10,0,5,0,0,0.0,175.9,576,538,1114,128.3,0.9658886894075404,50,0.64,makeoffer
makeoffer_r15_1,10,1,15,1,1,1,2,40.65,3.6,32,28,60,3.2,0.9333333333333333,50,,makeoffer
makeoffer_r15_1,10,4,15,1,1,1,2,40.65,7.2,48,42,90,6.2,0.9333333333333333,50,,makeoffer
makeoffer_r15_1,10,10,15,1,1,1,2,40.65,13.4,65,55,120,11.0,0.9166666666666666,50,,makeoffer
makeoffer_r15_1,10,20,15,1,1,1,2,40.65,22.6,82,68,150,17.5,0.9066666666666666,50,,makeoffer
makeoffer_r15_1,10,50,15,1,1,1,2,40.65,45.2,158,142,300,35.0,0.9466666666666667,50,,makeoffer
makeoffer_r15_1,10,100,15,1,1,1,2,40.65,85.3,295,275,570,64.6,0.9649122807017544,50,,makeoffer
makeoffer_r15_1,10,200,15,1,1,1,2,40.65,162.0,553,543,1096,122.4,0.9908759124087592,50,,makeoffer
makeoffer_r15_1,10,500,15,1,1,1,2,40.65,270.4,1934,1928,3862,222.0,0.9984464008285863,50,,makeoffer
makeoffer_r15_5,10,1,15,0,5,0,0,0.0,3.7,40,20,60,3.3,0.6666666666666666,50,0.39,makeoffer
makeoffer_r15_5,10,4,15,0,5,0,0,0.0,8.8,60,30,90,7.2,0.6666666666666666,50,0.38,makeoffer
makeoffer_r15_5,10,10,15,0,5,0,0,0.0,13.8,80,40,120,11.0,0.6666666666666666,50,0.36,makeoffer
makeoffer_r15_5,10,20,15,0,5,0,0,0.0,22.6,98,52,150,17.1,0.6933333333333334,50,0.37,makeoffer
makeoffer_r15_5,10,50,15,0,5,0,0,0.0,47.5,180,120,300,35.7,0.8,50,0.27,makeoffer
makeoffer_r15_5,10,100,15,0,5,0,0,0.0,84.7,308,220,528,63.5,0.8333333333333334,50,0.19,makeoffer
makeoffer_r15_5,10,200,15,0,5,0,0,0.0,164.4,580,489,1069,123.0,0.9148737137511693,50,0.31,makeoffer
makeoffer_r15_5,10,400,15,0,5,0,0,0.0,208.7,1463,1437,2900,175.6,0.9910344827586207,50,4.11,makeoffer
makeoffer_r15_5,10,500,15,0,5,0,0,0.0,244.0,2006,1986,3992,191.5,0.9949899799599199,50,6.3,makeoffer
makeoffer_r2_1,10,1,2,1,1,1,2,40.65,1.9,8,4,12,1.4,0.6666666666666666,50,,makeoffer
makeoffer_r2_1,10,4,2,1,1,1,2,40.65,4.9,17,11,28,3.9,0.7857142857142857,50,,makeoffer
makeoffer_r2_1,10,10,2,1,1,1,2,40.65,10.8,31,25,56,8.8,0.8928571428571429,50,,makeoffer
makeoffer_r2_1,10,20,2,1,1,1,2,40.65,20.4,59,49,108,15.6,0.9074074074074074,50,,makeoffer
makeoffer_r2_1,10,50,2,1,1,1,2,40.65,49.6,138,122,260,46.5,0.9384615384615385,50,,makeoffer
makeoffer_r2_1,10,100,2,1,1,1,2,40.65,97.9,270,254,524,69.0,0.9694656488549618,50,,makeoffer
makeoffer_r2_1,10,200,2,1,1,1,2,40.65,194.3,528,520,1048,137.7,0.9923664122137404,50,,makeoffer
makeoffer_r2_1,10,500,2,1,1,1,2,40.65,398.4,1590,1586,3176,333.9,0.9987405541561712,50,,makeoffer
makeoffer_r2_5,10,1,2,0,5,0,0,0.0,1.9,10,2,12,1.4,0.3333333333333333,50,0.74,makeoffer
makeoffer_r2_5,10,4,2,0,5,0,0,0.0,4.9,23,5,28,4.0,0.3571428571428572,50,0.8,makeoffer
makeoffer_r2_5,10,10,2,0,5,0,0,0.0,10.7,41,15,56,8.7,0.5357142857142857,50,0.61,makeoffer
makeoffer_r2_5,10,20,2,0,5,0,0,0.0,20.3,77,31,108,16.0,0.5740740740740741,50,0.42,makeoffer
makeoffer_r2_5,10,50,2,0,5,0,0,0.0,49.7,161,101,262,35.6,0.7709923664122137,50,0.26,makeoffer
makeoffer_r2_5,10,100,2,0,5,0,0,0.0,98.4,292,222,514,93.3,0.8638132295719845,50,0.25,makeoffer
makeoffer_r2_5,10,200,2,0,5,0,0,0.0,193.1,564,534,1098,134.7,0.9726775956284153,50,0.62,makeoffer
makeoffer_r2_5,10,400,2,0,5,0,0,0.0,252.6,1537,1517,3054,198.1,0.9934512115258677,50,3.89,makeoffer
makeoffer_r2_5,10,500,2,0,5,0,0,0.0,269.0,1914,1894,3808,221.8,0.9947478991596639,50,5.63,makeoffer
makeoffer_r20_1,10,1,20,1,1,1,2,40.65,3.7,43,37,80,3.4,0.925,50,,makeoffer
makeoffer_r20_1,10,4,20,1,1,1,2,40.65,12.5,42,38,80,9.5,0.95,50,,makeoffer
makeoffer_r20_1,10,10,20,1,1,1,2,40.65,15.3,64,56,120,12.2,0.9333333333333333,50,,makeoffer
makeoffer_r20_1,10,20,20,1,1,1,2,40.65,23.6,86,74,160,18.2,0.925,50,,makeoffer
makeoffer_r20_1,10,50,20,1,1,1,2,40.65,45.6,169,151,320,35.1,0.94375,50,,makeoffer
makeoffer_r20_1,10,100,20,1,1,1,2,40.65,86.5,290,270,560,65.9,0.9642857142857143,50,,makeoffer
makeoffer_r20_1,10,200,20,1,1,1,2,40.65,166.0,575,567,1142,128.9,0.9929947460595446,50,,makeoffer
makeoffer_r20_5,10,1,20,0,5,0,0,0.0,4.3,51,29,80,3.9,0.725,50,0.42,makeoffer
makeoffer_r20_5,10,4,20,0,5,0,0,0.0,12.0,50,30,80,9.2,0.75,50,0.4,makeoffer
makeoffer_r20_5,10,10,20,0,5,0,0,0.0,15.4,78,42,120,12.6,0.7,50,0.41,makeoffer
makeoffer_r20_5,10,20,20,0,5,0,0,0.0,22.6,105,57,162,18.3,0.7037037037037037,50,0.33,makeoffer
makeoffer_r20_5,10,50,20,0,5,0,0,0.0,47.3,197,123,320,36.1,0.76875,50,0.29,makeoffer
makeoffer_r20_5,10,100,20,0,5,0,0,0.0,86.2,321,243,564,65.4,0.8617021276595744,50,0.28,makeoffer
makeoffer_r20_5,10,200,20,0,5,0,0,0.0,157.4,606,568,1174,3.9,0.9676320272572402,50,0.73,makeoffer
makeoffer_r20_5,10,400,20,0,5,0,0,0.0,210.8,1481,1451,2932,173.4,0.9897680763983628,50,4.06,makeoffer
makeoffer_r24_1,10,1,24,1,1,1,2,40.65,3.6,52,44,96,3.4,0.9166666666666666,50,,makeoffer
makeoffer_r24_1,10,4,24,1,1,1,2,40.65,12.0,52,44,96,0.3,0.9166666666666666,50,,makeoffer
makeoffer_r24_1,10,10,24,1,1,1,2,40.65,15.9,77,67,144,15.1,0.9305555555555556,50,,makeoffer
makeoffer_r24_1,10,20,24,1,1,1,2,40.65,23.0,102,90,192,18.0,0.9375,50,,makeoffer
makeoffer_r24_1,10,50,24,1,1,1,2,40.65,48.0,177,159,336,36.9,0.9464285714285714,50,,makeoffer
makeoffer_r24_1,10,100,24,1,1,1,2,40.65,76.8,299,277,576,62.0,0.9618055555555556,50,,makeoffer
makeoffer_r24_1,10,200,24,1,1,1,2,40.65,166.6,591,581,1172,3.9,0.9914675767918089,50,,makeoffer
makeoffer_r24_5,10,1,24,0,5,0,0,0.0,3.7,65,31,96,3.4,0.6458333333333334,50,0.46,makeoffer
makeoffer_r24_5,10,4,24,0,5,0,0,0.0,12.4,60,36,96,9.4,0.75,50,0.38,makeoffer
makeoffer_r24_5,10,10,24,0,5,0,0,0.0,15.1,91,53,144,12.1,0.7361111111111112,50,0.37,makeoffer
makeoffer_r24_5,10,20,24,0,5,0,0,0.0,22.1,124,68,192,18.2,0.7083333333333334,50,0.4,makeoffer
makeoffer_r24_5,10,50,24,0,5,0,0,0.0,45.4,207,129,336,35.0,0.7678571428571429,50,0.28,makeoffer
makeoffer_r24_5,10,100,24,0,5,0,0,0.0,87.2,329,247,576,82.8,0.8576388888888888,50,0.26,makeoffer
makeoffer_r24_5,10,200,24,0,5,0,0,0.0,161.1,612,576,1188,3.9,0.9696969696969697,50,0.75,makeoffer
makeoffer_r5_1,10,1,5,1,1,1,2,40.65,3.7,12,8,20,2.6,0.8,50,0.56,makeoffer
makeoffer_r5_1,10,4,5,1,1,1,2,40.65,5.8,23,17,40,4.4,0.85,50,0.46,makeoffer
