functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
purchase_c1_r1,10,1,1,2,2,3,3,41.6,1.3,4,16,20,1.1,0.8,50,1.33,purchase
purchase_c1_r1,10,4,1,2,2,3,3,41.6,4.6,3,27,30,4.2,0.9,50,2.07,purchase
purchase_c1_r1,10,10,1,2,2,3,3,41.6,10.0,7,55,62,4.6,0.8870967741935484,50,1.46,purchase
purchase_c1_r1,10,20,1,2,2,3,3,41.6,19.8,8,117,125,14.5,0.936,50,1.03,purchase
purchase_c1_r1,10,50,1,2,2,3,3,41.6,48.3,6,299,305,34.0,0.980327868852459,50,1.36,purchase
purchase_c1_r1,10,100,1,2,2,3,3,41.6,96.9,3,602,605,67.7,0.9950413223140496,50,2.69,purchase
purchase_c1_r1,10,200,1,2,2,3,3,41.6,105.0,4,1161,1165,97.3,0.9965665236051502,50,3.27,purchase
purchase_c1_r1,10,500,1,2,2,3,3,41.6,306.7,2,1847,1849,174.2,0.9989183342347214,50,,purchase
purchase_c10_r10,10,1,10,2,20,3,3,41.6,1.4,15,0,15,1.2,0.0,50,2.33,purchase
purchase_c10_r10,10,4,10,2,20,3,3,41.6,4.6,15,15,30,4.2,0.5,50,2.05,purchase
purchase_c10_r10,10,10,10,2,20,3,3,41.6,6.1,29,33,62,6.9,0.532258064516129,50,0.78,purchase
purchase_c10_r10,10,20,10,2,20,3,3,41.6,19.9,35,90,125,14.1,0.72,50,1.03,purchase
purchase_c10_r10,10,50,10,2,20,3,3,41.6,22.2,18,190,208,30.0,0.9134615384615384,50,1.01,purchase
purchase_c10_r10,10,100,10,2,20,3,3,41.6,97.5,15,590,605,67.9,0.9752066115702479,50,2.5,purchase
purchase_c10_r10,10,200,10,2,20,3,3,41.6,189.4,11,1194,1205,127.7,0.9908713692946058,50,3.59,purchase
purchase_c10_r10,10,400,10,2,20,3,3,41.6,368.7,9,2391,2400,196.6,0.99625,50,4.78,purchase
purchase_c10_r10,10,500,10,2,20,3,3,41.6,85.9,6,549,555,59.3,0.9891891891891892,50,6.0,purchase
purchase_c15_r15,10,1,15,2,30,3,3,41.6,1.4,15,0,15,1.2,0.0,50,2.46,purchase
purchase_c15_r15,10,4,15,2,30,3,3,41.6,4.5,15,15,30,4.1,0.5,50,2.11,purchase
purchase_c15_r15,10,10,15,2,30,3,3,41.6,6.9,18,28,46,5.6,0.6086956521739131,50,1.23,purchase
purchase_c15_r15,10,20,15,2,30,3,3,41.6,19.1,33,92,125,14.0,0.736,50,1.29,purchase
purchase_c15_r15,10,50,15,2,30,3,3,41.6,46.7,21,284,305,33.6,0.9311475409836065,50,2.14,purchase
purchase_c15_r15,10,100,15,2,30,3,3,41.6,95.0,14,591,605,67.5,0.9768595041322314,50,2.74,purchase
purchase_c15_r15,10,200,15,2,30,3,3,41.6,87.3,10,831,841,115.9,0.9881093935790726,50,2.82,purchase
purchase_c15_r15,10,400,15,2,30,3,3,41.6,377.0,9,2389,2398,197.1,0.9962468723936614,50,4.5,purchase
purchase_c15_r15,10,500,15,2,30,3,3,41.6,453.3,8,2963,2971,206.3,0.997307303938068,50,5.59,purchase
purchase_c2_r2,10,1,2,2,4,3,3,41.6,1.5,6,9,15,1.2,0.6,50,2.63,purchase
purchase_c2_r2,10,4,2,2,4,3,3,41.6,2.2,4,16,20,2.0,0.8,50,4.64,purchase
purchase_c2_r2,10,10,2,2,4,3,3,41.6,10.5,12,53,65,7.6,0.8153846153846154,50,0.98,purchase
purchase_c2_r2,10,20,2,2,4,3,3,41.6,19.7,16,111,127,14.3,0.8740157480314961,50,0.34,purchase
purchase_c2_r2,10,50,2,2,4,3,3,41.6,48.7,8,297,305,34.6,0.9737704918032787,50,1.97,purchase
purchase_c2_r2,10,100,2,2,4,3,3,41.6,97.5,6,599,605,77.9,0.9900826446280991,50,2.53,purchase
purchase_c2_r2,10,200,2,2,4,3,3,41.6,194.6,4,1201,1205,127.5,0.9966804979253112,50,3.59,purchase
purchase_c2_r2,10,400,2,2,4,3,3,41.6,383.4,4,2397,2401,190.5,0.9983340274885465,50,3.94,purchase
purchase_c2_r2,10,500,2,2,4,3,3,41.6,227.0,3,1254,1257,141.6,0.9976133651551312,50,2.9,purchase
purchase_c20_r20,10,1,20,2,40,3,3,41.6,1.4,15,0,15,1.2,0.0,50,2.36,purchase
purchase_c20_r20,10,4,20,2,40,3,3,41.6,4.4,15,15,30,4.0,0.5,50,2.17,purchase
purchase_c20_r20,10,10,20,2,40,3,3,41.6,10.3,30,35,65,7.6,0.5384615384615384,50,1.01,purchase
purchase_c20_r20,10,20,20,2,40,3,3,41.6,19.0,32,93,125,14.3,0.744,50,1.23,purchase
purchase_c20_r20,10,50,20,2,40,3,3,41.6,47.7,20,286,306,34.1,0.934640522875817,50,1.92,purchase
purchase_c20_r20,10,100,20,2,40,3,3,41.6,93.7,14,591,605,67.2,0.9768595041322314,50,2.71,purchase
purchase_c20_r20,10,200,20,2,40,3,3,41.6,184.8,12,1193,1205,127.5,0.9900414937759336,50,3.56,purchase
purchase_c20_r20,10,400,20,2,40,3,3,41.6,360.4,9,2395,2404,187.3,0.9962562396006656,50,5.06,purchase
purchase_c20_r20,10,500,20,2,40,3,3,41.6,455.8,9,2954,2963,217.8,0.9969625379682754,50,5.52,purchase
purchase_c24_r24,10,1,24,2,48,3,3,41.6,1.4,15,0,15,1.2,0.0,50,2.27,purchase
purchase_c24_r24,10,4,24,2,48,3,3,41.6,4.5,15,15,30,4.1,0.5,50,2.11,purchase
purchase_c24_r24,10,10,24,2,48,3,3,41.6,10.0,28,37,65,7.9,0.5692307692307692,50,1.29,purchase
purchase_c24_r24,10,20,24,2,48,3,3,41.6,7.5,18,49,67,11.7,0.7313432835820896,50,1.08,purchase
purchase_c24_r24,10,50,24,2,48,3,3,41.6,47.9,22,283,305,33.7,0.9278688524590164,50,1.66,purchase
purchase_c24_r24,10,100,24,2,48,3,3,41.6,91.2,13,592,605,64.9,0.9785123966942149,50,2.94,purchase
purchase_c24_r24,10,200,24,2,48,3,3,41.6,180.7,11,1194,1205,125.9,0.9908713692946058,50,3.64,purchase
purchase_c24_r24,10,400,24,2,48,3,3,41.6,375.8,9,2381,2390,191.8,0.996234309623431,50,4.59,purchase
purchase_c24_r24,10,500,24,2,48,3,3,41.6,442.1,9,2917,2926,210.4,0.9969241285030759,50,5.58,purchase
purchase_c4_r4,10,1,4,2,8,3,3,41.6,1.0,16,4,20,0.9,0.2,50,3.77,purchase
purchase_c4_r4,10,4,4,2,8,3,3,41.6,4.6,12,18,30,4.2,0.6,50,1.99,purchase
purchase_c4_r4,10,10,4,2,8,3,3,41.6,10.2,24,41,65,7.6,0.6307692307692307,50,0.96,purchase
purchase_c4_r4,10,20,4,2,8,3,3,41.6,10.4,24,93,117,10.0,0.7948717948717948,50,1.12,purchase
purchase_c4_r4,10,50,4,2,8,3,3,41.6,48.7,18,287,305,34.6,0.940983606557377,50,2.02,purchase
purchase_c4_r4,10,100,4,2,8,3,3,41.6,96.7,12,593,605,67.7,0.9801652892561984,50,2.63,purchase
purchase_c4_r4,10,200,4,2,8,3,3,41.6,192.6,10,1195,1205,133.0,0.991701244813278,50,3.31,purchase
purchase_c4_r4,10,400,4,2,8,3,3,41.6,378.5,8,2395,2403,186.2,0.9966708281315023,50,4.66,purchase
purchase_c4_r4,10,500,4,2,8,3,3,41.6,199.9,7,2262,2269,132.8,0.996914940502424,50,4.83,purchase
