functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
purchase_c2_r2,10,1,2,2,4,3,3,41.6,1.3,2,6,8,0.8,0.75,200,,purchase
purchase_c2_r2,10,4,2,2,4,3,3,41.6,4.2,2,24,26,2.9,0.9230769230769231,200,,purchase
purchase_c2_r2,10,10,2,2,4,3,3,41.6,10.0,2,60,62,5.6,0.967741935483871,200,,purchase
purchase_c2_r2,10,20,2,2,4,3,3,41.6,19.7,2,120,122,11.2,0.9836065573770492,200,,purchase
purchase_c2_r2,10,50,2,2,4,3,3,41.6,48.7,2,300,302,27.6,0.9933774834437086,200,,purchase
purchase_c2_r2,10,100,2,2,4,3,3,41.6,97.2,2,600,602,53.7,0.9966777408637874,200,,purchase
purchase_c2_r2,10,200,2,2,4,3,3,41.6,193.4,2,1195,1197,99.1,0.9983291562238931,200,,purchase
purchase_c20_r20,10,1,20,2,40,3,3,41.6,1.3,15,0,15,1.1,0.0,200,3.7,purchase
purchase_c20_r20,10,4,20,2,40,3,3,41.6,3.9,9,21,30,2.6,0.7,200,5.55,purchase
purchase_c20_r20,10,10,20,2,40,3,3,41.6,7.9,10,55,65,5.5,0.8461538461538461,200,5.13,purchase
purchase_c20_r20,10,20,20,2,40,3,3,41.6,14.1,10,115,125,9.5,0.92,200,4.96,purchase
purchase_c20_r20,10,50,20,2,40,3,3,41.6,39.4,7,296,303,24.3,0.976897689768977,200,5.7,purchase
purchase_c20_r20,10,100,20,2,40,3,3,41.6,81.1,7,598,605,48.6,0.9884297520661157,200,6.81,purchase
purchase_c4_r4,10,20,4,2,8,3,3,41.6,17.7,8,116,124,10.8,0.9354838709677419,200,4.31,purchase
