functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
pack_r1,10,1,1,0,0,58,1,90.77,1.2,6,0,6,0.8,0.0,0,1.42,pack
pack_r1,10,4,1,0,0,58,1,90.77,4.2,21,0,21,3.3,0.0,0,1.25,pack
pack_r1,10,10,1,0,0,58,1,90.77,10.2,51,0,51,8.1,0.0,0,0.56,pack
pack_r1,10,20,1,0,0,58,1,90.77,20.2,101,0,101,14.2,0.0,0,0.33,pack
pack_r1,10,50,1,0,0,58,1,90.77,50.2,251,0,251,35.4,0.0,0,0.19,pack
pack_r1,10,100,1,0,0,58,1,90.77,100.2,501,0,501,70.8,0.0,0,0.22,pack
pack_r1,10,200,1,0,0,58,1,90.77,144.5,721,2,723,101.7,0.002766251728907331,0,0.21,pack
pack_r1,10,400,1,0,0,58,1,90.77,137.3,684,2,686,96.3,0.002915451895043732,0,0.24,pack
pack_r10,10,1,10,0,0,58,1,90.77,1.7,17,0,17,1.4,0.0,0,2.07,pack
pack_r10,10,4,10,0,0,58,1,90.77,4.7,24,0,24,3.4,0.0,0,2.06,pack
pack_r10,10,10,10,0,0,58,1,90.77,9.5,48,0,48,6.8,0.0,0,0.84,pack
pack_r10,10,20,10,0,0,58,1,90.77,17.2,88,0,88,12.4,0.0,0,0.5,pack
pack_r10,10,50,10,0,0,58,1,90.77,41.1,208,0,208,29.4,0.0,0,0.27,pack
pack_r10,10,100,10,0,0,58,1,90.77,80.7,408,0,408,57.4,0.0,0,0.21,pack
pack_r10,10,200,10,0,0,58,1,90.77,160.6,808,0,808,111.9,0.0,0,1.4,pack
pack_r10,10,400,10,0,0,58,1,90.77,317.6,1608,0,1608,131.8,0.0,0,5.63,pack
pack_r10,10,500,10,0,0,58,1,90.77,397.4,2007,1,2008,132.2,0.00049800796812749,0,8.02,pack
pack_r13,10,1,13,0,0,58,1,90.77,2.0,26,0,26,1.7,0.0,0,0.62,pack
pack_r13,10,4,13,0,0,58,1,90.77,5.9,39,0,39,4.5,0.0,0,0.6,pack
pack_r13,10,10,13,0,0,58,1,90.77,12.3,65,0,65,8.9,0.0,0,0.67,pack
pack_r13,10,20,13,0,0,58,1,90.77,22.0,117,0,117,15.8,0.0,0,0.44,pack
pack_r13,10,50,13,0,0,58,1,90.77,51.0,273,0,273,36.7,0.0,0,0.24,pack
pack_r13,10,100,13,0,0,58,1,90.77,99.5,520,0,520,96.7,0.0,0,0.22,pack
pack_r13,10,200,13,0,0,58,1,90.77,194.9,1014,0,1014,102.3,0.0,0,3.66,pack
pack_r13,10,500,13,0,0,58,1,90.77,483.2,2522,0,2522,60.8,0.0,0,20.65,pack
pack_r15,10,1,15,0,0,58,1,90.77,1.7,26,0,26,1.5,0.0,0,0.68,pack
pack_r15,10,4,15,0,0,58,1,90.77,5.1,39,0,39,4.0,0.0,0,0.61,pack
pack_r15,10,10,15,0,0,58,1,90.77,10.6,65,0,65,7.9,0.0,0,0.72,pack
pack_r15,10,20,15,0,0,58,1,90.77,19.2,104,0,104,13.9,0.0,0,0.43,pack
pack_r15,10,50,15,0,0,58,1,90.77,44.8,234,0,234,32.1,0.0,0,0.25,pack
