functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
submitproduce_f1_a1,10,25,1,2,2,3,3,64.72,25.2,3,123,126,14.3,0.9761904761904762,150,2.45,submitproduce
submitproduce_f1_a1,10,50,1,2,2,3,3,64.72,50.2,2,249,251,27.6,0.9920318725099602,150,3.78,submitproduce
submitproduce_f1_a1,10,100,1,2,2,3,3,64.72,100.2,2,499,501,46.3,0.9960079840319361,150,4.68,submitproduce
submitproduce_f1_a1,10,150,1,2,2,3,3,64.72,150.2,2,749,751,57.8,0.9973368841544608,150,4.64,submitproduce
submitproduce_f1_a1,10,200,1,2,2,3,3,64.72,199.5,2,995,997,71.7,0.9979939819458375,150,5.21,submitproduce
submitproduce_f10_a10,10,1,10,2,20,3,3,64.72,1.6,13,7,20,1.3,0.35,150,2.99,submitproduce
submitproduce_f10_a10,10,4,10,2,20,3,3,64.72,3.4,15,15,30,2.8,0.5,150,3.34,submitproduce
submitproduce_f10_a10,10,10,10,2,20,3,3,64.72,8.1,19,41,60,6.7,0.6833333333333333,150,2.56,submitproduce
submitproduce_f10_a10,10,20,10,2,20,3,3,64.72,13.4,16,94,110,11.2,0.8545454545454545,150,3.79,submitproduce
submitproduce_f10_a10,10,25,10,2,20,3,3,64.72,14.4,20,120,140,11.7,0.8571428571428571,150,4.15,submitproduce
submitproduce_f10_a10,10,50,10,2,20,3,3,64.72,21.6,10,250,260,17.3,0.9615384615384616,150,6.43,submitproduce
submitproduce_f10_a10,10,100,10,2,20,3,3,64.72,70.9,26,479,505,46.0,0.9485148514851485,150,2.07,submitproduce
submitproduce_f10_a10,10,200,10,2,20,3,3,64.72,133.0,13,997,1010,89.1,0.9871287128712871,150,6.49,submitproduce
submitproduce_f10_a10,10,400,10,2,20,3,3,64.72,229.4,11,1860,1871,124.4,0.9941207910208445,150,8.56,submitproduce
submitproduce_f10_a10,10,500,10,2,20,3,3,64.72,288.3,11,2498,2509,148.4,0.99561578318055,150,8.55,submitproduce
submitproduce_f15_a15,10,1,15,2,30,3,3,64.72,1.7,18,12,30,1.5,0.4,150,3.25,submitproduce
submitproduce_f15_a15,10,4,15,2,30,3,3,64.72,3.8,26,19,45,3.0,0.4222222222222222,150,3.12,submitproduce
submitproduce_f15_a15,10,10,15,2,30,3,3,64.72,6.9,31,44,75,5.5,0.5866666666666667,150,3.12,submitproduce
submitproduce_f15_a15,10,20,15,2,30,3,3,64.72,9.8,22,97,119,7.9,0.8151260504201681,150,5.86,submitproduce
submitproduce_f15_a15,10,50,15,2,30,3,3,64.72,29.4,22,248,270,21.4,0.9185185185185185,150,5.76,submitproduce
submitproduce_f2_a2,10,25,2,2,4,3,3,64.72,24.6,4,124,128,14.7,0.96875,150,3.61,submitproduce
submitproduce_f2_a2,10,50,2,2,4,3,3,64.72,48.9,4,248,252,28.7,0.9841269841269841,150,3.55,submitproduce
submitproduce_f2_a2,10,100,2,2,4,3,3,64.72,97.6,3,499,502,66.1,0.9940239043824701,150,4.64,submitproduce
submitproduce_f2_a2,10,150,2,2,4,3,3,64.72,146.2,4,748,752,78.2,0.9946808510638298,150,4.11,submitproduce
submitproduce_f2_a2,10,200,2,2,4,3,3,64.72,194.8,4,998,1002,109.4,0.9960079840319361,150,4.58,submitproduce
submitproduce_f20_a20,10,1,20,2,40,3,3,64.72,1.4,33,7,40,1.3,0.175,150,3.37,submitproduce
submitproduce_f20_a20,10,4,20,2,40,3,3,64.72,3.5,29,11,40,2.8,0.275,150,3.52,submitproduce
submitproduce_f20_a20,10,10,20,2,40,3,3,64.72,6.8,46,42,88,5.6,0.4772727272727273,150,1.95,submitproduce
submitproduce_f20_a20,10,20,20,2,40,3,3,64.72,9.2,31,89,120,7.5,0.7416666666666667,150,4.33,submitproduce
submitproduce_f20_a20,10,50,20,2,40,3,3,64.72,21.4,29,251,280,18.8,0.8964285714285715,150,5.25,submitproduce
submitproduce_f20_a20,10,100,20,2,40,3,3,64.72,37.7,25,492,517,28.8,0.9516441005802708,150,5.94,submitproduce
submitproduce_f20_a20,10,200,20,2,40,3,3,64.72,91.1,24,996,1020,68.7,0.9764705882352941,150,7.33,submitproduce
submitproduce_f20_a20,10,400,20,2,40,3,3,64.72,152.1,22,1857,1879,100.3,0.9882916444917509,150,9.3,submitproduce
submitproduce_f20_a20,10,500,20,2,40,3,3,64.72,208.0,22,2494,2516,130.7,0.9912559618441972,150,9.51,submitproduce
submitproduce_f4_a4,10,1,4,2,8,3,3,64.72,1.4,7,5,12,1.0,0.4166666666666667,150,3.68,submitproduce
submitproduce_f4_a4,10,4,4,2,8,3,3,64.72,3.9,8,16,24,2.9,0.6666666666666666,150,3.43,submitproduce
submitproduce_f4_a4,10,10,4,2,8,3,3,64.72,9.4,9,47,56,6.0,0.8392857142857143,150,3.3,submitproduce
submitproduce_f4_a4,10,20,4,2,8,3,3,64.72,18.4,8,95,103,10.6,0.9223300970873787,150,3.25,submitproduce
submitproduce_f4_a4,10,25,4,2,8,3,3,64.72,23.5,8,124,132,13.5,0.9393939393939394,150,3.28,submitproduce
submitproduce_f4_a4,10,50,4,2,8,3,3,64.72,46.6,8,248,256,25.2,0.96875,150,3.84,submitproduce
submitproduce_f4_a4,10,100,4,2,8,3,3,64.72,87.4,6,498,504,51.7,0.9880952380952381,150,4.83,submitproduce
submitproduce_f4_a4,10,150,4,2,8,3,3,64.72,137.0,6,750,756,76.0,0.9920634920634921,150,5.26,submitproduce
submitproduce_f4_a4,10,200,4,2,8,3,3,64.72,178.7,5,998,1003,99.1,0.9950149551345963,150,5.98,submitproduce
submitproduce_f4_a4,10,400,4,2,8,3,3,64.72,347.9,5,1999,2004,74.8,0.9975049900199601,150,7.35,submitproduce
submitproduce_f4_a4,10,500,4,2,8,3,3,64.72,423.4,5,2497,2502,75.9,0.9980015987210232,150,8.55,submitproduce
