functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
acceptoffer_f1_r1,10,1,1,2,2,3,3,34.8,1.2,2,4,6,0.7,0.6666666666666666,200,,acceptoffer
acceptoffer_f1_r1,10,4,1,2,2,3,3,34.8,4.2,1,17,18,2.8,0.9444444444444444,200,,acceptoffer
acceptoffer_f1_r1,10,10,1,2,2,3,3,34.8,10.3,2,34,36,4.7,0.9444444444444444,200,,acceptoffer
acceptoffer_f1_r1,10,50,1,2,2,3,3,34.8,50.3,2,178,180,28.7,0.9888888888888889,200,,acceptoffer
acceptoffer_f1_r1,10,500,1,2,2,3,3,34.8,436.2,1,1799,1800,107.1,0.9994444444444445,200,,acceptoffer
acceptoffer_f2_r2,10,1,2,2,4,3,3,34.8,1.3,4,4,8,0.8,0.5,200,3.87,acceptoffer
acceptoffer_f2_r2,10,4,2,2,4,3,3,34.8,4.2,3,19,22,2.6,0.8636363636363636,200,4.34,acceptoffer
acceptoffer_f2_r2,10,10,2,2,4,3,3,34.8,6.3,2,17,19,3.5,0.8947368421052632,200,3.82,acceptoffer
acceptoffer_f2_r2,10,20,2,2,4,3,3,34.8,13.2,3,38,41,5.1,0.926829268292683,200,3.61,acceptoffer
acceptoffer_f2_r2,10,50,2,2,4,3,3,34.8,47.8,3,177,180,26.6,0.9833333333333333,200,4.02,acceptoffer
acceptoffer_f2_r2,10,100,2,2,4,3,3,34.8,94.4,3,297,300,47.5,0.99,200,4.35,acceptoffer
acceptoffer_f2_r2,10,200,2,2,4,3,3,34.8,186.3,3,597,600,82.9,0.995,200,4.7,acceptoffer
acceptoffer_f2_r2,10,500,2,2,4,3,3,34.8,474.9,2,1798,1800,131.1,0.9988888888888889,200,10.03,acceptoffer
acceptoffer_f4_r4,10,1,4,2,8,3,3,34.8,1.2,9,3,12,0.9,0.25,200,3.87,acceptoffer
acceptoffer_f4_r4,10,4,4,2,8,3,3,34.8,4.3,8,16,24,2.8,0.6666666666666666,200,3.93,acceptoffer
acceptoffer_f4_r4,10,10,4,2,8,3,3,34.8,8.2,8,35,43,4.4,0.813953488372093,200,3.2,acceptoffer
acceptoffer_f4_r4,10,20,4,2,8,3,3,34.8,17.8,8,96,104,10.5,0.9230769230769231,200,3.87,acceptoffer
acceptoffer_f4_r4,10,50,4,2,8,3,3,34.8,38.0,5,175,180,24.0,0.9722222222222222,200,4.93,acceptoffer
acceptoffer_f4_r4,10,100,4,2,8,3,3,34.8,62.8,5,295,300,37.7,0.9833333333333333,200,5.26,acceptoffer
acceptoffer_f4_r4,10,200,4,2,8,3,3,34.8,171.7,5,999,1004,94.5,0.9950199203187251,200,5.44,acceptoffer
acceptoffer_f4_r4,10,400,4,2,8,3,3,34.8,338.5,4,1288,1292,113.4,0.9969040247678018,200,5.92,acceptoffer
