functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
pack100kg_r5,100,1,5,0,0,571,1,90.77,2.0,10,0,10,1.4,0.0,0,0.76,pack100kg
pack100kg_r5,100,4,5,0,0,571,1,90.77,5.0,25,0,25,3.3,0.0,0,0.64,pack100kg
pack100kg_r5,100,10,5,0,0,571,1,90.77,10.9,55,0,55,8.7,0.0,0,0.48,pack100kg
pack100kg_r5,100,20,5,0,0,571,1,90.77,20.9,105,0,105,12.3,0.0,0,3.93,pack100kg
pack100kg_r5,100,50,5,0,0,571,1,90.77,50.8,255,0,255,14.1,0.0,0,9.23,pack100kg
pack100kg_r5,100,100,5,0,0,571,1,90.77,100.7,505,0,505,14.0,0.0,0,21.12,pack100kg
