functionName,lotWeightKg,load,numCaliperWorkers,hotKeyWrites,hotParticipants,ledgerWrites,reads,payloadBytes,sendRate,success,failures,totalTransactions,throughput,failureRate,latency,avgLatency,function_clean
makeoffer_r5_1,10,1,5,1,1,1,2,40.65,3.1,12,8,20,2.3,0.8,150,0.96,makeoffer
makeoffer_r5_1,10,4,5,1,1,1,2,40.65,5.5,22,18,40,4.1,0.9,150,0.7,makeoffer
makeoffer_r5_1,10,10,5,1,1,1,2,40.65,10.2,37,33,70,7.9,0.9428571428571428,150,0.62,makeoffer
makeoffer_r5_1,10,20,5,1,1,1,2,40.65,18.8,63,57,120,13.0,0.95,150,0.59,makeoffer
makeoffer_r5_1,10,50,5,1,1,1,2,40.65,42.6,148,142,290,30.8,0.9793103448275862,150,0.62,makeoffer
makeoffer_r5_1,10,100,5,1,1,1,2,40.65,82.7,304,300,604,70.7,0.9933774834437086,150,1.06,makeoffer
makeoffer_r5_1,10,200,5,1,1,1,2,40.65,129.3,726,722,1448,96.7,0.9972375690607734,150,3.5,makeoffer
makeoffer_r5_10,10,1,5,0,10,0,0,0.0,2.9,20,0,20,2.3,0.0,150,1.51,makeoffer
makeoffer_r5_10,10,4,5,0,10,0,0,0.0,5.1,32,8,40,4.1,0.4,150,1.36,makeoffer
makeoffer_r5_10,10,10,5,0,10,0,0,0.0,10.0,51,19,70,7.4,0.5428571428571428,150,1.07,makeoffer
makeoffer_r5_10,10,20,5,0,10,0,0,0.0,19.0,81,39,120,12.8,0.65,150,0.91,makeoffer
makeoffer_r5_10,10,50,5,0,10,0,0,0.0,40.6,168,118,286,30.0,0.8251748251748252,150,0.87,makeoffer
makeoffer_r5_10,10,100,5,0,10,0,0,0.0,82.6,321,281,602,50.4,0.9335548172757475,150,1.17,makeoffer
makeoffer_r5_10,10,200,5,0,10,0,0,0.0,124.4,767,729,1496,94.5,0.9745989304812834,150,3.9,makeoffer
makeoffer_r5_2,10,1,5,0,2,0,0,0.0,3.0,14,6,20,2.3,0.6,150,1.2,makeoffer
makeoffer_r5_2,10,4,5,0,2,0,0,0.0,5.4,24,16,40,4.1,0.8,150,0.9,makeoffer
makeoffer_r5_2,10,10,5,0,2,0,0,0.0,9.5,41,29,70,7.1,0.8285714285714286,150,0.67,makeoffer
makeoffer_r5_2,10,20,5,0,2,0,0,0.0,17.7,66,54,120,14.9,0.9,150,0.59,makeoffer
makeoffer_r5_2,10,50,5,0,2,0,0,0.0,39.7,144,132,276,30.7,0.9565217391304348,150,0.66,makeoffer
makeoffer_r5_2,10,100,5,0,2,0,0,0.0,82.4,306,298,604,61.4,0.9867549668874173,150,1.13,makeoffer
makeoffer_r5_2,10,200,5,0,2,0,0,0.0,141.6,669,650,1319,106.0,0.9855951478392722,150,1.5,makeoffer
makeoffer_r5_20,10,1,5,0,20,0,0,0.0,3.2,18,2,20,2.3,0.2,150,1.68,makeoffer
makeoffer_r5_20,10,4,5,0,20,0,0,0.0,4.1,36,4,40,4.1,0.2,150,1.09,makeoffer
makeoffer_r5_20,10,10,5,0,20,0,0,0.0,10.4,56,14,70,7.9,0.4,150,1.25,makeoffer
makeoffer_r5_20,10,20,5,0,20,0,0,0.0,17.8,99,27,126,13.0,0.4285714285714285,150,0.46,makeoffer
makeoffer_r5_20,10,50,5,0,20,0,0,0.0,36.0,236,131,367,30.0,0.7138964577656676,150,-0.69,makeoffer
makeoffer_r5_20,10,100,5,0,20,0,0,0.0,70.9,339,263,602,70.9,0.8737541528239202,150,1.25,makeoffer
makeoffer_r5_20,10,200,5,0,20,0,0,0.0,126.1,803,737,1540,89.8,0.9571428571428572,150,4.09,makeoffer
